,Accession,ncbi_AS_scores,ncbi_SH_scores,ncbi_diff_scores,ncbi_pred_class
113,OFM98359.1,864.4,641.5,222.89999999999998,1
114,WP_107977004.1,865.4,641.2,224.19999999999993,1
115,WP_123805896.1,866.7,641.8,224.9000000000001,1
116,WP_019270138.1,865.4,643.5,221.89999999999998,1
117,WP_070514980.1,865.5,642.0,223.5,1
118,WP_016688094.1,859.4,639.5,219.89999999999998,1
119,WP_107812955.1,863.7,639.7,224.0,1
120,WP_089035080.1,862.9,635.4,227.5,1
121,MBF1286552.1,863.8,639.8,224.0,1
122,MBF1265402.1,866.3,643.1,223.19999999999993,1
123,WP_009173319.1,862.9,634.8,228.10000000000002,1
124,KJJ14438.1,848.6,633.2,215.39999999999998,1
125,WP_020395193.1,865.3,660.1,205.19999999999993,1
126,TXH69610.1,873.6,664.8,208.80000000000007,1
127,WP_078921153.1,872.9,665.1,207.79999999999995,1
128,WP_189490323.1,855.3,641.7,213.5999999999999,1
129,WP_116607541.1,853.3,649.4,203.89999999999998,1
130,WP_201492321.1,846.4,652.0,194.39999999999998,1
131,ACB35580.1,840.5,633.4,207.10000000000002,1
132,WP_127996339.1,851.0,662.3,188.70000000000005,1
133,WP_043704407.1,840.5,633.6,206.89999999999998,1
134,WP_137894689.1,833.4,649.2,184.19999999999993,1
135,NYG33689.1,843.8,646.5,197.29999999999995,1
136,WP_046114521.1,846.9,653.0,193.89999999999998,1
137,WP_179636149.1,843.9,646.6,197.29999999999995,1
138,WP_092762119.1,854.7,648.3,206.4000000000001,1
139,NOT99509.1,842.6,630.1,212.5,1
140,MBF1247195.1,849.0,643.2,205.79999999999995,1
141,MBF1257432.1,848.5,642.7,205.79999999999995,1
142,WP_198812679.1,840.7,603.4,237.30000000000007,1
143,WP_136610519.1,876.7,644.2,232.5,1
144,EFV94469.1,852.5,643.8,208.70000000000005,1
145,WP_197721601.1,852.5,643.7,208.79999999999995,1
146,WP_083799634.1,852.4,643.8,208.60000000000002,1
147,WP_194637578.1,841.3,622.4,218.89999999999998,1
148,RKW47554.1,850.7,641.2,209.5,1
149,WP_137367841.1,859.9,619.3,240.60000000000002,1
150,WP_104117213.1,860.3,618.4,241.89999999999998,1
151,MBF1237676.1,850.5,641.0,209.5,1
152,WP_086461042.1,844.8,622.1,222.69999999999993,1
153,WP_159801241.1,844.4,606.0,238.39999999999998,1
154,WP_085486657.1,836.0,613.7,222.29999999999995,1
155,WP_199276486.1,852.6,613.0,239.60000000000002,1
156,WP_130483368.1,831.4,643.7,187.69999999999993,1
157,WP_051631524.1,835.6,641.5,194.10000000000002,1
158,WP_133402516.1,838.2,598.6,239.60000000000002,1
159,RJU00205.1,840.2,602.0,238.20000000000005,1
160,RZS51951.1,831.6,643.5,188.10000000000002,1
161,WP_149504224.1,832.1,642.5,189.60000000000002,1
162,WP_104139101.1,868.6,629.1,239.5,1
163,WP_152812209.1,858.4,620.0,238.39999999999998,1
164,WP_084605872.1,846.0,624.5,221.5,1
165,WP_173804339.1,830.3,640.4,189.89999999999998,1
166,WP_078715498.1,845.4,624.2,221.19999999999993,1
167,WP_104278026.1,841.5,623.4,218.10000000000002,1
168,KQR22484.1,843.0,623.2,219.79999999999995,1
169,WP_055768356.1,858.8,623.0,235.79999999999995,1
170,WP_082495794.1,842.2,622.4,219.80000000000007,1
171,WP_147782907.1,864.1,628.8,235.30000000000007,1
172,WP_138415476.1,878.2,640.3,237.9000000000001,1
173,WP_132542727.1,868.9,633.5,235.39999999999998,1
174,WP_026549211.1,852.2,608.2,244.0,1
175,WP_055898544.1,854.0,638.5,215.5,1
176,AMM31830.1,881.8,638.3,243.5,1
177,GAP37951.1,822.0,655.1,166.89999999999998,1
178,WP_197284739.1,821.9,655.0,166.89999999999998,1
179,WP_125095767.1,848.4,640.4,208.0,1
180,WP_104179230.1,863.4,626.6,236.79999999999995,1
181,RKV79052.1,608.4,476.6,131.79999999999995,1
182,MUK01693.1,863.7,619.6,244.10000000000002,1
183,WP_159616343.1,844.6,606.8,237.80000000000007,1
184,WP_055947539.1,840.8,614.3,226.5,1
185,WP_066502056.1,881.0,638.4,242.60000000000002,1
186,WP_043440818.1,861.4,623.4,238.0,1
187,WP_028269345.1,874.2,633.1,241.10000000000002,1
188,NQX12848.1,874.6,635.2,239.39999999999998,1
189,WP_078029327.1,871.5,632.9,238.60000000000002,1
190,WP_130284277.1,868.0,643.6,224.39999999999998,1
191,WP_182489477.1,845.3,627.0,218.29999999999995,1
192,KQM58009.1,838.7,619.5,219.20000000000005,1
193,RZT58206.1,867.9,643.6,224.29999999999995,1
194,WP_156144148.1,887.4,644.9,242.5,1
195,WP_082466162.1,837.9,618.7,219.19999999999993,1
196,WP_196880940.1,860.8,622.8,238.0,1
197,KHL02569.1,887.4,644.9,242.5,1
198,WP_055930247.1,835.9,610.3,225.60000000000002,1
199,WP_104120225.1,845.8,609.8,236.0,1
200,WP_202563538.1,842.0,619.1,222.89999999999998,1
201,WP_125133278.1,837.8,619.3,218.5,1
202,NQX26899.1,866.9,621.3,245.60000000000002,1
203,WP_104166212.1,855.9,620.1,235.79999999999995,1
204,QHO69714.1,855.9,622.7,233.19999999999993,1
205,WP_108252850.1,850.7,621.2,229.5,1
206,WP_128226989.1,822.0,649.5,172.5,1
207,WP_066261876.1,838.8,655.7,183.0999999999999,1
208,WP_056426950.1,868.6,631.2,237.39999999999998,1
209,WP_018770020.1,881.0,632.2,248.79999999999995,1
210,WP_087029836.1,843.5,605.0,238.5,1
211,WP_115788660.1,860.9,633.7,227.19999999999993,1
212,WP_130484464.1,857.4,637.1,220.29999999999995,1
213,WP_161887446.1,849.2,616.2,233.0,1
214,WP_185203996.1,848.2,608.0,240.20000000000005,1
215,MBC7592159.1,839.5,599.9,239.60000000000002,1
216,WP_056391894.1,878.8,631.4,247.39999999999998,1
217,WP_144600123.1,879.7,630.1,249.60000000000002,1
218,WP_141159107.1,867.1,625.6,241.5,1
219,WP_169077854.1,851.6,635.7,215.89999999999998,1
220,BAU32945.1,865.3,640.8,224.5,1
221,WP_134165032.1,878.9,631.9,247.0,1
222,WP_096422458.1,865.5,640.8,224.70000000000005,1
223,WP_152605610.1,859.6,639.5,220.10000000000002,1
224,WP_056626993.1,859.5,619.6,239.89999999999998,1
225,KGM11272.1,859.6,639.5,220.10000000000002,1
226,WP_163474384.1,872.7,633.1,239.60000000000002,1
227,WP_043481337.1,876.6,632.5,244.10000000000002,1
228,PYG75794.1,873.7,628.5,245.20000000000005,1
229,WP_142070535.1,878.8,631.1,247.69999999999993,1
230,WP_109045528.1,866.8,620.9,245.89999999999998,1
231,WP_175316834.1,872.7,632.0,240.70000000000005,1
232,WP_110542160.1,873.4,628.6,244.79999999999995,1
233,WP_056546814.1,849.8,622.4,227.39999999999998,1
234,WP_157365241.1,865.2,628.3,236.9000000000001,1
235,WP_079549517.1,871.0,632.9,238.10000000000002,1
236,WP_024477196.1,860.2,625.7,234.5,1
237,WP_087076718.1,880.3,627.4,252.89999999999998,1
238,WP_026264356.1,868.2,624.1,244.10000000000002,1
239,APX04080.1,864.9,628.5,236.39999999999998,1
240,WP_137322657.1,873.7,628.3,245.4000000000001,1
241,WP_116778474.1,859.7,626.5,233.20000000000005,1
242,NBO77056.1,832.3,629.9,202.39999999999998,1
243,WP_104999882.1,867.2,626.0,241.20000000000005,1
244,WP_141182638.1,866.7,626.2,240.5,1
245,WP_144670094.1,861.7,634.6,227.10000000000002,1
246,NUP59435.1,871.7,634.3,237.4000000000001,1
247,WP_066289268.1,865.6,623.0,242.60000000000002,1
248,WP_138444098.1,859.5,623.8,235.70000000000005,1
249,WP_074586068.1,860.7,630.3,230.4000000000001,1
250,WP_120522317.1,861.7,630.6,231.10000000000002,1
251,WP_104172882.1,872.3,637.1,235.19999999999993,1
252,WP_157240566.1,867.2,627.0,240.20000000000005,1
253,AUZ87673.1,867.0,618.3,248.70000000000005,1
254,TQJ59358.1,871.1,626.3,244.80000000000007,1
255,WP_142132379.1,870.8,626.4,244.39999999999998,1
256,WP_133831904.1,865.8,629.5,236.29999999999995,1
257,WP_159630234.1,872.9,633.9,239.0,1
258,WP_141945413.1,872.2,624.8,247.4000000000001,1
259,WP_055806052.1,871.5,633.8,237.70000000000005,1
260,WP_138610458.1,877.1,633.4,243.70000000000005,1
261,GHG53926.1,872.2,641.4,230.80000000000007,1
262,WP_011691876.1,873.6,630.7,242.89999999999998,1
263,VXC39414.1,873.0,633.9,239.10000000000002,1
264,WP_049822890.1,853.6,627.1,226.5,1
265,WP_003805464.1,859.7,624.5,235.20000000000005,1
266,WP_189694333.1,872.0,641.4,230.60000000000002,1
267,WP_163167649.1,865.6,630.2,235.39999999999998,1
268,MBG6191774.1,860.0,636.6,223.39999999999998,1
269,MBA4247086.1,851.2,618.9,232.30000000000007,1
270,WP_142041011.1,871.8,635.9,235.89999999999998,1
271,WP_028276797.1,868.6,631.3,237.30000000000007,1
272,WP_202802710.1,859.7,626.6,233.10000000000002,1
273,WP_079595327.1,866.3,625.6,240.69999999999993,1
274,WP_196867680.1,860.0,636.7,223.29999999999995,1
275,WP_148599268.1,844.4,614.0,230.39999999999998,1
276,WP_111902571.1,865.7,630.6,235.10000000000002,1
277,WP_142029300.1,875.9,629.9,246.0,1
278,WP_091248009.1,862.1,627.9,234.20000000000005,1
279,ASN53838.1,885.4,644.4,241.0,1
280,WP_043453623.1,873.4,629.2,244.19999999999993,1
281,WP_087873388.1,865.3,631.2,234.0999999999999,1
282,WP_102974302.1,865.6,631.0,234.60000000000002,1
283,WP_156929974.1,869.6,628.0,241.60000000000002,1
284,WP_091423916.1,865.9,630.6,235.29999999999995,1
285,WP_090577570.1,873.1,638.1,235.0,1
286,WP_120149474.1,869.0,631.2,237.79999999999995,1
287,WP_115523592.1,863.9,623.8,240.10000000000002,1
288,WP_138135316.1,873.5,628.0,245.5,1
289,SCC04436.1,861.7,617.5,244.20000000000005,1
290,WP_197075039.1,831.0,617.9,213.10000000000002,1
291,WP_090587048.1,870.0,628.5,241.5,1
292,WP_058267957.1,861.7,617.7,244.0,1
293,SDI42482.1,870.0,628.5,241.5,1
294,WP_120692993.1,869.0,623.8,245.20000000000005,1
295,WP_142063442.1,873.4,637.0,236.39999999999998,1
296,WP_179873942.1,846.3,629.7,216.5999999999999,1
297,WP_050053297.1,865.2,632.1,233.10000000000002,1
298,WP_190609175.1,862.8,632.0,230.79999999999995,1
299,WP_018772802.1,868.6,629.3,239.30000000000007,1
300,WP_056331038.1,873.5,627.9,245.60000000000002,1
301,MBK5265900.1,852.8,623.0,229.79999999999995,1
302,WP_013602643.1,867.5,622.3,245.20000000000005,1
303,WP_142118117.1,869.0,626.2,242.79999999999995,1
304,WP_139030730.1,862.8,627.9,234.89999999999998,1
305,AXJ11004.1,865.7,628.5,237.20000000000005,1
306,WP_067948247.1,839.1,634.7,204.39999999999998,1
307,WP_104043589.1,863.6,620.8,242.80000000000007,1
308,WP_122936046.1,829.9,627.0,202.89999999999998,1
309,WP_188572054.1,850.5,622.8,227.70000000000005,1
310,WP_116765790.1,861.0,627.9,233.10000000000002,1
311,WP_196842196.1,857.1,628.0,229.10000000000002,1
312,WP_191152018.1,841.0,626.7,214.29999999999995,1
313,WP_077489299.1,866.9,634.3,232.60000000000002,1
314,WP_131134550.1,856.0,619.3,236.70000000000005,1
315,WP_104186607.1,867.0,625.8,241.20000000000005,1
316,MBR21769.1,838.5,623.2,215.29999999999995,1
317,WP_152583791.1,839.4,624.3,215.10000000000002,1
318,WP_015938755.1,864.7,623.8,240.9000000000001,1
319,WP_133767173.1,854.7,649.2,205.5,1
320,WP_183321860.1,851.1,620.1,231.0,1
321,WP_026552373.1,854.6,633.9,220.70000000000005,1
322,WP_108597576.1,857.4,614.7,242.69999999999993,1
323,MBB5617143.1,850.9,619.9,231.0,1
324,WP_174176271.1,866.1,624.0,242.10000000000002,1
325,WP_066281189.1,859.1,616.3,242.80000000000007,1
326,WP_191035467.1,863.7,622.5,241.20000000000005,1
327,WP_138137958.1,861.5,623.7,237.79999999999995,1
328,GGH96979.1,849.1,622.8,226.30000000000007,1
329,WP_106562579.1,838.1,620.0,218.10000000000002,1
330,WP_188812114.1,863.6,624.9,238.70000000000005,1
331,WP_171619494.1,862.6,640.4,222.20000000000005,1
332,WP_190612647.1,864.0,621.9,242.10000000000002,1
333,WP_045730706.1,863.6,623.9,239.70000000000005,1
334,WP_026536679.1,866.9,626.7,240.19999999999993,1
335,WP_019998128.1,845.9,651.5,194.39999999999998,1
336,WP_100824127.1,840.8,626.6,214.19999999999993,1
337,WP_105032843.1,854.9,601.3,253.60000000000002,1
338,WP_104049440.1,851.3,602.7,248.5999999999999,1
339,WP_076658274.1,852.8,637.4,215.39999999999998,1
340,WP_172989004.1,825.2,627.0,198.20000000000005,1
341,GGI89089.1,862.6,623.0,239.60000000000002,1
342,WP_116416127.1,847.0,624.7,222.29999999999995,1
343,WP_188731118.1,862.6,623.1,239.5,1
344,WP_133205564.1,829.8,610.3,219.5,1
345,WP_153983097.1,837.6,611.4,226.20000000000005,1
346,EFC88315.1,584.8,416.7,168.09999999999997,1
347,WP_091723601.1,860.0,624.8,235.20000000000005,1
348,WP_052022747.1,846.7,635.5,211.20000000000005,1
349,VXC27945.1,859.4,624.1,235.29999999999995,1
350,WP_171584446.1,860.6,636.8,223.80000000000007,1
351,WP_155050468.1,836.7,626.9,209.80000000000007,1
352,WP_159829483.1,859.4,624.1,235.29999999999995,1
353,WP_110278983.1,851.1,638.5,212.60000000000002,1
354,WP_129234096.1,827.8,628.1,199.69999999999993,1
355,WP_146898862.1,853.4,635.2,218.19999999999993,1
356,WP_102977725.1,858.6,618.6,240.0,1
357,WP_104339659.1,855.4,616.4,239.0,1
358,WP_154345469.1,821.6,615.5,206.10000000000002,1
359,WP_104327462.1,856.0,618.5,237.5,1
360,WP_104250198.1,854.2,618.3,235.9000000000001,1
361,NRD08449.1,858.1,624.4,233.70000000000005,1
362,WP_104257288.1,854.6,618.3,236.30000000000007,1
363,WP_104317475.1,854.5,618.3,236.20000000000005,1
364,WP_159913410.1,854.2,616.0,238.20000000000005,1
365,HAP91375.1,857.8,614.2,243.5999999999999,1
366,BBE23535.1,846.4,604.3,242.10000000000002,1
367,HDV38450.1,897.4,661.8,235.60000000000002,1
368,WP_104262675.1,852.6,613.8,238.80000000000007,1
369,WP_104267042.1,852.3,613.8,238.5,1
370,WP_104313671.1,853.2,613.1,240.10000000000002,1
371,WP_155840232.1,822.7,617.7,205.0,1
372,KQB97880.1,847.0,637.2,209.79999999999995,1
373,WP_104337376.1,851.8,613.7,238.0999999999999,1
374,WP_104233293.1,853.3,617.3,236.0,1
375,WP_120950486.1,856.0,630.5,225.5,1
376,QIE43884.1,832.7,611.2,221.5,1
377,WP_104308162.1,851.1,613.7,237.39999999999998,1
378,WP_104283845.1,853.5,616.0,237.5,1
379,WP_104326809.1,852.4,615.6,236.79999999999995,1
380,WP_104350268.1,853.9,614.3,239.60000000000002,1
381,WP_104352722.1,856.0,617.5,238.5,1
382,WP_159906361.1,857.2,614.0,243.20000000000005,1
383,WP_104304287.1,856.4,618.1,238.29999999999995,1
384,WP_104280738.1,856.0,617.3,238.70000000000005,1
385,KQY25645.1,845.5,651.1,194.39999999999998,1
386,WP_179434725.1,847.6,628.4,219.20000000000005,1
387,WP_124090935.1,866.4,620.0,246.39999999999998,1
388,HHY56900.1,939.7,697.4,242.30000000000007,1
389,WP_104277638.1,855.1,615.8,239.30000000000007,1
390,WP_104238190.1,855.2,613.3,241.9000000000001,1
391,WP_133347640.1,850.2,613.6,236.60000000000002,1
392,WP_104256184.1,850.8,611.2,239.5999999999999,1
393,WP_104295214.1,853.2,615.6,237.60000000000002,1
394,WP_104345863.1,852.0,614.7,237.29999999999995,1
395,WP_104325830.1,854.8,617.2,237.5999999999999,1
396,WP_159941132.1,854.2,617.1,237.10000000000002,1
397,SNU01052.1,842.7,629.5,213.20000000000005,1
398,WP_104272768.1,853.3,616.9,236.39999999999998,1
399,WP_104328584.1,854.5,617.1,237.39999999999998,1
400,WP_104287983.1,853.0,615.6,237.39999999999998,1
401,WP_055860216.1,817.0,604.8,212.20000000000005,1
402,WP_104226980.1,853.0,617.4,235.60000000000002,1
403,WP_104268763.1,853.3,616.7,236.5999999999999,1
404,WP_104323780.1,854.2,617.0,237.20000000000005,1
405,WP_160036153.1,854.0,616.6,237.39999999999998,1
406,WP_104263828.1,854.8,617.1,237.69999999999993,1
407,WP_157453852.1,839.5,646.8,192.70000000000005,1
408,WP_089993766.1,847.9,635.1,212.79999999999995,1
409,WP_104319233.1,851.2,614.2,237.0,1
410,WP_082485444.1,852.3,620.5,231.79999999999995,1
411,TCS62834.1,842.8,627.3,215.5,1
412,OCT55055.1,851.4,626.0,225.39999999999998,1
413,KQQ07946.1,852.3,620.5,231.79999999999995,1
414,WP_104351557.1,853.1,614.2,238.89999999999998,1
415,SMH46856.1,854.8,612.0,242.79999999999995,1
416,WP_061972734.1,838.0,636.6,201.39999999999998,1
417,WP_104247831.1,853.2,616.5,236.70000000000005,1
418,WP_056081307.1,858.5,621.5,237.0,1
419,GEL97090.1,844.0,648.1,195.89999999999998,1
420,WP_194396555.1,853.7,646.8,206.9000000000001,1
421,WP_068210765.1,849.0,614.2,234.79999999999995,1
422,WP_091707741.1,846.0,628.0,218.0,1
423,WP_104338313.1,849.3,612.7,236.5999999999999,1
424,MBC7723656.1,835.9,614.4,221.5,1
425,XP_007784561.1,839.7,616.4,223.30000000000007,1
426,WP_129588063.1,854.0,611.7,242.29999999999995,1
427,WP_144833906.1,847.1,631.2,215.89999999999998,1
428,WP_104223577.1,853.4,615.8,237.60000000000002,1
429,WP_127046079.1,839.7,630.6,209.10000000000002,1
430,HAJ38284.1,937.8,697.6,240.19999999999993,1
431,WP_179439263.1,844.2,635.5,208.70000000000005,1
432,WP_107575512.1,852.9,620.2,232.69999999999993,1
433,WP_062114416.1,835.8,626.3,209.5,1
434,WP_186813258.1,842.9,642.4,200.5,1
435,MBI5160817.1,816.5,595.6,220.89999999999998,1
436,WP_188912577.1,831.3,635.4,195.89999999999998,1
437,WP_146844798.1,839.3,645.2,194.0999999999999,1
438,OOB89413.1,851.8,619.0,232.79999999999995,1
439,WP_077224292.1,851.9,618.9,233.0,1
440,WP_104261199.1,850.3,614.9,235.39999999999998,1
441,WP_158872856.1,835.9,627.9,208.0,1
442,MBK7203912.1,905.7,673.7,232.0,1
443,WP_116284449.1,851.2,629.2,222.0,1
444,WP_097166560.1,853.1,616.9,236.20000000000005,1
445,STX07257.1,846.4,626.5,219.89999999999998,1
446,KQR16262.1,842.4,648.9,193.5,1
447,WP_082481575.1,851.2,618.8,232.4000000000001,1
448,WP_132245560.1,841.9,627.2,214.69999999999993,1
449,WP_119481328.1,839.6,642.9,196.70000000000005,1
450,WP_162459632.1,852.3,631.2,221.0999999999999,1
451,TQN38875.1,846.6,626.5,220.10000000000002,1
452,XP_009159535.1,841.3,620.5,220.79999999999995,1
453,HGT16762.1,885.0,654.8,230.20000000000005,1
454,EYT55545.1,846.6,626.6,220.0,1
455,WP_042734523.1,851.8,618.7,233.0999999999999,1
456,GEO95626.1,851.3,629.3,222.0,1
457,VEI51510.1,846.3,625.9,220.39999999999998,1
458,KQQ19317.1,851.1,618.9,232.20000000000005,1
459,WP_062737004.1,850.4,629.4,221.0,1
460,XP_008727702.1,849.7,620.0,229.70000000000005,1
461,MBI3241893.1,892.5,662.2,230.29999999999995,1
462,MBK9229433.1,900.3,669.9,230.39999999999998,1
463,WP_116418298.1,810.1,600.0,210.10000000000002,1
464,WP_187698312.1,843.3,612.9,230.39999999999998,1
465,WP_104318250.1,852.6,617.0,235.60000000000002,1
466,WP_109243592.1,846.7,626.6,220.10000000000002,1
467,KQS97152.1,838.7,637.9,200.80000000000007,1
468,WP_081656887.1,849.3,617.7,231.5999999999999,1
469,WP_203189426.1,868.3,652.3,216.0,1
470,WP_154097491.1,847.3,631.9,215.39999999999998,1
471,WP_181137025.1,852.1,618.6,233.5,1
472,WP_053004757.1,851.0,631.9,219.10000000000002,1
473,WP_200941649.1,838.7,637.9,200.80000000000007,1
474,WP_056042588.1,847.5,603.6,243.89999999999998,1
475,KLU10843.1,850.7,632.3,218.4000000000001,1
476,WP_082494925.1,837.3,645.3,192.0,1
477,WP_068252082.1,848.7,610.0,238.70000000000005,1
478,WP_173235285.1,847.1,616.5,230.60000000000002,1
479,MBK6430734.1,901.3,671.4,229.89999999999998,1
480,WP_050686329.1,860.9,628.3,232.60000000000002,1
481,WP_159986679.1,851.6,616.7,234.89999999999998,1
482,GEO91862.1,849.0,625.1,223.89999999999998,1
483,WP_173287717.1,847.9,619.0,228.89999999999998,1
484,WP_058859683.1,849.0,625.1,223.89999999999998,1
485,PPI56401.1,849.7,617.7,232.0,1
486,WP_204162145.1,845.8,604.1,241.69999999999993,1
487,WP_104259546.1,848.5,609.0,239.5,1
488,MWV49372.1,845.5,604.2,241.29999999999995,1
489,TCL81554.1,851.7,619.2,232.5,1
490,ROP43030.1,851.6,619.1,232.5,1
491,TDX76637.1,848.4,616.9,231.5,1
492,WP_127887172.1,850.5,617.4,233.10000000000002,1
493,WP_123737769.1,851.5,619.3,232.20000000000005,1
494,ROQ03122.1,850.4,618.5,231.89999999999998,1
