,accession,has_S
494,NOS98153.1,0
495,WP_132437780.1,0
496,XP_008714632.1,0
497,WP_035924662.1,0
498,WP_185038946.1,0
499,XP_007758113.1,0
500,WP_056595653.1,0
501,ROQ54575.1,0
502,NOT64677.1,0
503,WP_176337235.1,0
504,WP_123447725.1,0
505,ROS25140.1,0
506,WP_115163638.1,0
507,WP_017831740.1,0
508,WP_126347049.1,0
509,WP_109221599.1,0
510,GGG46531.1,0
511,XP_013261766.1,0
512,WP_133963204.1,0
513,WP_123734110.1,0
514,WP_104271486.1,0
515,XP_016252475.1,0
516,WP_133409929.1,0
517,WP_112254978.1,0
518,WP_199281574.1,0
519,OQV03697.1,0
520,WP_053548837.1,0
521,WP_101852992.1,0
522,WP_095650009.1,0
523,MBG6056025.1,0
524,KPL73089.1,0
525,WP_183420360.1,0
526,WP_058873340.1,0
527,WP_163288230.1,0
528,XP_022500117.1,0
529,MBA4102031.1,0
530,WP_014435062.1,0
531,WP_183533295.1,0
532,GFZ51142.1,0
533,WP_095797248.1,0
534,WP_159422313.1,0
535,WP_188534485.1,0
536,ODT09904.1,0
537,HDX31876.1,0
538,RSH91570.1,0
539,KIW67001.1,0
540,XP_016629618.1,0
541,NMC53678.1,0
542,OAL21341.1,0
543,WP_097059226.1,0
544,WP_184752320.1,0
545,WP_150448325.1,0
546,SOE45472.1,0
547,XP_013289246.1,0
548,WP_202129926.1,0
549,KTR87625.1,0
550,WP_153004351.1,0
551,XP_007722591.1,0
552,PZP35414.1,0
553,XP_022516186.1,0
554,WP_135848688.1,0
555,KQR86960.1,0
556,KZE43125.1,0
557,WP_173252010.1,0
558,WP_082509506.1,0
559,WP_082822761.1,0
560,ODT41115.1,0
561,WP_132504582.1,0
562,WP_160090388.1,0
563,XP_007748690.1,0
564,WP_192635810.1,0
565,NLF78941.1,0
566,XP_018693861.1,0
567,MBE2233447.1,0
568,KIV84544.1,0
569,NSW52114.1,0
570,WP_083696721.1,0
571,XP_016221682.1,0
572,WP_115919033.1,0
573,WP_191915630.1,0
574,KQR23666.1,0
575,WP_150971009.1,0
576,WP_070409546.1,0
577,WP_082484971.1,0
578,KQT72273.1,0
579,PKN91813.1,0
580,WP_082516600.1,0
581,WP_150958747.1,0
582,WP_109229001.1,0
583,WP_108719079.1,0
584,RVX74320.1,0
585,WP_094261513.1,0
586,MBK8048332.1,0
587,MBG0785694.1,0
588,MBK7821265.1,0
589,HCX85557.1,0
590,WP_141884243.1,0
591,WP_194609269.1,0
592,WP_178009666.1,0
593,WP_154923869.1,0
594,WP_139985799.1,0
595,WP_160487527.1,0
596,WP_127096517.1,0
597,WP_119869925.1,0
598,KTS02948.1,0
599,WP_192014010.1,0
600,WP_153003372.1,0
601,WP_120262567.1,0
602,KSU52952.1,0
603,WP_134128011.1,0
604,WP_061917003.1,0
605,WP_202129503.1,0
606,WP_139168114.1,0
607,WP_157593835.1,0
608,WP_158861817.1,0
609,MBI5567474.1,0
610,WP_179559186.1,0
611,KTS09091.1,0
612,WP_073186204.1,0
613,XP_016622302.1,0
614,WP_170063554.1,0
615,WP_153004768.1,0
616,MBE2237833.1,0
617,WP_141611279.1,0
618,WP_158039089.1,0
619,WP_091487470.1,0
620,WP_144806229.1,0
621,KTS80769.1,0
622,MBL8095981.1,0
623,WP_083710528.1,0
624,WP_013585839.1,0
625,MBI1298196.1,0
626,WP_191926676.1,0
627,WP_133542003.1,0
628,WP_153001481.1,0
629,NWF71089.1,0
630,WP_145011259.1,0
631,WP_123738389.1,0
632,WP_112614818.1,0
633,MBD3757680.1,0
634,WP_116227835.1,0
635,XP_017997423.1,0
636,WP_144941494.1,0
637,WP_067166816.1,0
638,WP_116537100.1,0
639,PZU45121.1,0
640,WP_114589509.1,0
641,XP_016236740.1,0
642,MBC6934851.1,0
643,WP_082330819.1,0
644,WP_061712506.1,0
645,WP_144785676.1,0
646,WP_081349874.1,0
647,WP_126874194.1,0
648,PZO69036.1,0
649,KQM38671.1,0
650,GIG28293.1,0
651,NOY97709.1,0
652,WP_055083283.1,0
653,MBI5303469.1,0
654,WP_082450440.1,0
655,WP_024289427.1,0
656,WP_138172671.1,0
657,WP_084670278.1,0
658,WP_129337415.1,0
659,WP_108317327.1,0
660,WP_023950655.1,0
661,APF35603.1,0
662,WP_090030389.1,0
663,ALB04123.1,0
664,HGT56134.1,0
665,WP_091497855.1,0
666,RKR75334.1,0
667,WP_064956553.1,0
668,WP_137802486.1,0
669,WP_076689389.1,0
670,RZI94699.1,0
671,XP_016259872.1,0
672,NMD31516.1,0
673,WP_083837656.1,0
674,OJV79414.1,0
675,WP_150418915.1,0
676,MBI5667627.1,0
677,WP_128216867.1,0
678,SBS71669.1,0
679,WP_196383816.1,0
680,XP_007803434.1,0
681,KAF7506282.1,0
682,WP_018187868.1,0
683,WP_141381340.1,0
684,OJX97564.1,0
685,WP_082676962.1,0
686,WP_196323760.1,0
687,WP_083735224.1,0
688,HDU45184.1,0
689,WP_137750357.1,0
690,WP_119932530.1,0
691,WP_116239046.1,0
692,ONI63301.1,0
693,MBK8780686.1,0
694,WP_062423023.1,0
695,WP_081994290.1,0
696,ODT27464.1,0
697,WP_062017118.1,0
698,KUG54771.1,0
699,WP_006215390.1,0
700,WP_136362373.1,0
701,WP_094734715.1,0
702,WP_103206242.1,0
703,WP_201781210.1,0
704,WP_036311094.1,0
705,WP_166834495.1,0
706,PLS79457.1,0
707,PZU39258.1,0
708,WP_035962728.1,0
709,WP_087863176.1,0
710,WP_036316235.1,0
711,WP_141938538.1,0
712,OQB85576.1,0
713,WP_036288248.1,0
714,WP_114598820.1,0
715,WP_055961377.1,0
716,WP_135950039.1,0
717,WP_028497231.1,0
718,WP_112931824.1,0
719,WP_185275277.1,0
720,HGY49484.1,0
721,WP_075074699.1,0
722,MBE7551059.1,0
723,WP_123824471.1,0
724,WP_194583336.1,0
725,ODT22195.1,0
726,MBL8080231.1,0
727,MBI5294620.1,0
728,WP_136586627.1,0
729,OJU44593.1,0
730,WP_147050998.1,0
731,WP_083709035.1,0
732,MBI2758283.1,0
733,EIC08375.1,0
734,WP_121189058.1,0
735,HAE58006.1,0
736,WP_193519177.1,0
737,WP_064002869.1,0
738,WP_061683756.1,0
739,MBE7468158.1,0
740,MBK9710298.1,0
741,WP_152677490.1,0
742,WP_131332086.1,0
743,WP_064846956.1,0
744,WP_039413525.1,0
745,MBK6791050.1,0
746,WP_065571950.1,0
747,WP_144997543.1,0
748,NLN70609.1,0
749,NLF52215.1,0
750,KPV54380.1,0
751,WP_085108222.1,0
752,PMD41842.1,0
753,MBI3172510.1,0
754,WP_194606134.1,0
755,WP_145007610.1,0
756,WP_016464248.1,0
757,MAU11424.1,0
758,MAS37209.1,0
759,WP_101305554.1,0
760,WP_098053852.1,0
761,MBL8163034.1,0
762,WP_031460303.1,0
763,MBK7452774.1,0
764,MBC8098755.1,0
765,WP_060916122.1,0
766,NUQ37677.1,0
767,WP_020097643.1,0
768,WP_133398891.1,0
769,WP_061781996.1,0
770,MBK8418973.1,0
771,HDQ73577.1,0
772,MBI5960892.1,0
773,WP_076708822.1,0
774,MBL0346010.1,0
775,NWG08662.1,0
776,RMG72704.1,0
777,NMB53218.1,0
778,WP_191007896.1,0
779,WP_060959039.1,0
780,MBK6792388.1,0
781,WP_068468556.1,0
782,MBK9602838.1,0
783,MBL8062265.1,0
784,PKO12442.1,0
785,WP_124293258.1,0
786,MBI1795285.1,0
787,MBK9207692.1,0
788,KAA0272065.1,0
789,NCP87635.1,0
790,HER47508.1,0
791,HCU56781.1,0
792,RME84951.1,0
793,MBE0681898.1,0
794,WP_123940563.1,0
795,MBK9780025.1,0
796,HEB66055.1,0
797,WP_054494085.1,0
798,SLM91994.1,0
799,MBK8616707.1,0
800,WP_015776537.1,0
801,MBK7319408.1,0
802,NPV86165.1,0
803,MBI5965862.1,0
804,NPV68195.1,0
805,PJF31195.1,0
806,WP_179564580.1,0
807,WP_158033263.1,0
808,TME13490.1,0
809,XP_029719522.1,0
810,MBE2267367.1,0
811,NDO78286.1,0
812,MBE7433671.1,0
813,WP_122942965.1,0
814,WP_017824356.1,0
815,MBK8822941.1,0
816,PZU32509.1,0
817,HDW29192.1,0
818,HBG59543.1,0
819,PKO05162.1,0
820,NMB60547.1,0
821,MBI5950874.1,0
822,WP_066790991.1,0
823,TVS12026.1,0
824,NOK59895.1,0
825,MBK6644861.1,0
826,PZP17719.1,0
827,WP_121371889.1,0
828,WP_141164607.1,0
829,PKO10502.1,0
830,MBK8032297.1,0
831,HHX08777.1,0
832,NUM47128.1,0
833,MBE9475457.1,0
834,WP_126602865.1,0
835,OIO97076.1,0
836,WP_102206087.1,0
837,MBI3150655.1,0
838,WP_144790582.1,0
839,HET60255.1,0
840,MBK9942840.1,0
841,MBL8090401.1,0
842,ACL24215.1,0
843,WP_041470950.1,0
844,WP_012258398.1,0
845,MBL8057499.1,0
846,RJP52407.1,0
847,PWH11946.1,0
848,QCZ35432.1,0
849,MBK9749951.1,0
850,WP_062282409.1,0
851,MBL8156556.1,0
852,NMB94576.1,0
853,RKQ35155.1,0
854,HGX15097.1,0
855,TVR24571.1,0
856,MBC8170586.1,0
857,KAB8140069.1,0
858,PJF36449.1,0
859,PJF44394.1,0
860,WP_199712233.1,0
861,HEC23069.1,0
862,NJN96150.1,0
863,WP_084427007.1,0
864,RMG85312.1,0
865,PJF42040.1,0
866,HGU26450.1,0
867,MBL8099901.1,0
868,HAE86089.1,0
869,MBE0687547.1,0
870,WP_198025448.1,0
871,WP_055921102.1,0
872,WP_090675726.1,0
873,WP_028458623.1,0
874,MBI9052159.1,0
875,RMF50035.1,0
876,MAT41754.1,0
877,WP_121241571.1,0
878,CAA9552889.1,0
879,OGO32882.1,0
880,TME64293.1,0
881,WP_059281703.1,0
882,WP_039101559.1,0
883,MBD3618734.1,0
884,NMC15642.1,0
885,NUQ02496.1,0
886,MAT64093.1,0
887,TMD33777.1,0
888,WP_126630219.1,0
889,WP_141143391.1,0
890,WP_125182523.1,0
891,TMC25361.1,0
892,RMF43046.1,0
893,WP_096366443.1,0
894,WP_200817599.1,0
895,HHS58299.1,0
896,NRB08022.1,0
897,NMB68646.1,0
898,CDN17338.1,0
899,HCD51696.1,0
900,WP_146577239.1,0
901,WP_146509789.1,0
902,WP_009103042.1,0
903,WP_008684082.1,0
904,WP_184305062.1,0
905,MBI1354595.1,0
906,NTV62445.1,0
907,WP_124109050.1,0
908,HEG73121.1,0
909,KAB2904241.1,0
910,KXK54542.1,0
911,MBL1134650.1,0
912,MBI5928386.1,0
913,HDP89074.1,0
914,WP_121057549.1,0
915,WP_106243233.1,0
916,MBD3676449.1,0
917,MBK9130944.1,0
918,MBK9121785.1,0
919,WP_153559059.1,0
920,QDS96727.1,0
921,WP_146535010.1,0
922,KMK73204.1,0
923,NJN15198.1,0
924,ALP53920.1,0
925,WP_143869751.1,0
926,WP_102613351.1,0
927,ALP54785.1,0
928,WP_191550799.1,0
929,SBV96704.1,0
930,WP_099091810.1,0
931,NTU79637.1,0
932,MBE2196666.1,0
933,WP_097653351.1,0
934,WP_100205733.1,0
935,WP_070637248.1,0
936,WP_166164173.1,0
937,KPK55750.1,0
938,WP_075998477.1,0
939,MBK8026024.1,0
940,PJF28503.1,0
941,WP_135479663.1,0
942,WP_026016866.1,0
943,WP_013221708.1,0
944,NTW44189.1,0
945,HCN23420.1,0
946,MBK8135707.1,0
947,NNJ11486.1,0
948,WP_146373665.1,0
949,SFH82489.1,0
950,WP_036498829.1,0
951,WP_168565823.1,0
952,WP_145299096.1,0
953,WP_035016377.1,0
954,WP_146390677.1,0
955,WP_146413271.1,0
956,TWT73104.1,0
957,WP_006786108.1,0
958,TWU18113.1,0
959,WP_092048366.1,0
960,QDT04287.1,0
961,WP_114367368.1,0
962,NCC21524.1,0
963,NDJ77818.1,0
964,MBC8352125.1,0
965,WP_144974024.1,0
966,WP_135481838.1,0
967,WP_105332309.1,0
968,WP_134357300.1,0
969,WP_145377509.1,0
970,NWG34311.1,0
971,WP_145263527.1,0
972,QDU59378.1,0
973,WP_036478795.1,0
974,AOH44470.1,0
975,WP_146502077.1,0
976,EFO79834.1,0
977,MBF0225435.1,0
978,WP_044200755.1,0
979,WP_105358701.1,0
980,MBI4761051.1,0
981,MBE7499510.1,0
982,WP_085441347.1,0
983,WP_068264698.1,0
984,NBW48343.1,0
985,KAA1262556.1,0
986,WP_182867326.1,0
987,WP_145122347.1,0
988,OSM06214.1,0
989,WP_174842856.1,0
990,NND97630.1,0
991,WP_145426408.1,0
992,HBN79028.1,0
993,TVQ01427.1,0
994,MBA2113893.1,0
995,WP_047813545.1,0
996,WP_195705595.1,0
997,WP_013626384.1,0
998,MBV10447.1,0
999,TMD69034.1,0
1000,WP_145178856.1,0
1001,WP_129676967.1,0
1002,WP_164103001.1,0
1003,WP_114984761.1,0
1004,WP_007646169.1,0
1005,KLU06539.1,0
1006,RRR74757.1,0
1007,WP_101517626.1,0
1008,WP_145280996.1,0
1009,WP_011330266.1,0
1010,WP_146528994.1,0
1011,WP_035776889.1,0
1012,WP_146588089.1,0
1013,EDZ66166.1,0
1014,KAA3662055.1,0
1015,QDS89449.1,0
1016,WP_095737031.1,0
1017,WP_200267578.1,0
1018,QDV87107.1,0
1019,WP_145184236.1,0
1020,WP_029315404.1,0
1021,WP_082053898.1,0
1022,WP_134085147.1,0
1023,WP_008707385.1,0
1024,WP_145216043.1,0
1025,PLX35505.1,0
1026,WP_020876247.1,0
1027,MBL0381866.1,0
1028,ABW28460.1,0
1029,WP_147867793.1,0
1030,MBM1003705.1,0
1031,WP_149345872.1,0
1032,TWT78924.1,0
1033,WP_013034407.1,0
1034,WP_200346616.1,0
1035,WP_022636406.1,0
1036,WP_005469090.1,0
1037,NCP64911.1,0
1038,WP_146600031.1,0
1039,NDJ55175.1,0
1040,CAA9568501.1,0
1041,WP_100799356.1,0
1042,WP_145389943.1,0
1043,NBC49592.1,0
1044,WP_155362633.1,0
1045,WP_039624934.1,0
1046,WP_145040368.1,0
1047,WP_200282542.1,0
1048,WP_040121797.1,0
1049,WP_165579883.1,0
1050,WP_145076478.1,0
1051,NJM65014.1,0
1052,WP_066220910.1,0
1053,WP_095570886.1,0
1054,WP_038187838.1,0
1055,MBT63040.1,0
1056,WP_109645970.1,0
1057,WP_008670392.1,0
1058,WP_171351896.1,0
1059,WP_043010057.1,0
1060,WP_172856135.1,0
1061,CAD78342.1,0
1062,WP_078045520.1,0
1063,WP_145309308.1,0
1064,WP_064486492.1,0
1065,MBB5350123.1,0
1066,NJN37482.1,0
1067,WP_146562419.1,0
1068,WP_094984173.1,0
1069,WP_184015303.1,0
1070,WP_151059516.1,0
1071,WP_039475308.1,0
1072,WP_099261268.1,0
1073,WP_007325774.1,0
1074,WP_172846365.1,0
1075,WP_172849669.1,0
1076,WP_146594715.1,0
1077,WP_095559664.1,0
1078,MAT15182.1,0
1079,EHA1089932.1,0
1080,WP_172853299.1,0
1081,TVP79138.1,0
1082,WP_145195625.1,0
1083,WP_099607840.1,0
1084,WP_144992047.1,0
