,accession,y_hmm,y_dp
77,WP_036491954.1 alpha-amylase family protein [Neisseria sicca],1,1
78,WP_049231138.1 alpha-amylase family protein [Neisseria sp. HMSC70E02],1,1
79,WP_070680294.1 alpha-amylase family protein [Neisseria sp. HMSC055H02],1,1
80,EIG29204.1 amylosucrase [Neisseria sicca VK64],1,1
81,WP_080613974.1 alpha-amylase family protein [Neisseria mucosa],1,1
82,WP_049227885.1 alpha-amylase family protein [Morococcus cerebrosus],1,1
83,WP_203026504.1 alpha-amylase family protein [Neisseria sp. HSUH001],1,1
84,MBF1294322.1 amylosucrase [Neisseria sp.],1,1
85,WP_039407260.1 alpha-amylase family protein [Morococcus cerebrosus],1,1
86,WP_107826199.1 alpha-amylase family protein [Neisseria sicca],1,1
87,MBF1291829.1 amylosucrase [Neisseria sicca],1,1
88,WP_040668843.1 alpha-amylase family protein [Neisseria sicca],1,1
89,EET43598.1 amylosucrase [Neisseria sicca ATCC 29256],1,1
90,WP_049227119.1 alpha-amylase family protein [Neisseria sicca],1,1
91,VTX50006.1 Amylosucrase [Neisseria sicca],1,1
92,WP_165007935.1 amylosucrase [Neisseria sp. ZJ785],1,1
93,WP_095502747.1 MULTISPECIES: alpha-amylase family protein [Neisseria],1,1
94,WP_165088438.1 amylosucrase [Neisseria sp. ZJ930],1,1
95,WP_123803679.1 MULTISPECIES: alpha-amylase family protein [unclassified Neisseria],1,1
96,WP_096295239.1 alpha-amylase family protein [Neisseria sp. 10022],1,1
97,KIC08099.1 amylosucrase [Morococcus cerebrosus],1,1
98,WP_070689047.1 alpha-amylase family protein [Neisseria sp. HMSC067H09],1,1
99,WP_045074367.1 alpha-amylase family protein [Neisseria sp. HMSC06F02],1,1
100,WP_106742213.1 alpha-amylase family protein [Neisseria iguanae],1,1
101,VTX79816.1 Amylosucrase [Neisseria subflava],1,1
102,WP_070538739.1 MULTISPECIES: alpha-amylase family protein [Neisseria],1,1
103,WP_070773699.1 alpha-amylase family protein [Neisseria sp. HMSC065D04],1,1
104,WP_101810667.1 alpha-amylase family protein [Neisseria sicca],1,1
105,WP_123794505.1 amylosucrase [Neisseria animalis],1,1
106,WP_070492521.1 alpha-amylase family protein [Neisseria mucosa],1,1
107,WP_066076332.1 amylosucrase [Bergeriella denitrificans],1,1
108,OHR40124.1 amylosucrase [Neisseria sp. HMSC070E12],1,1
109,WP_070655869.1 alpha-amylase family protein [Neisseria sicca],1,1
110,OHR43505.1 amylosucrase [Neisseria sp. HMSC064F04],1,1
111,WP_070603044.1 alpha-amylase family protein [Neisseria sp. HMSC074B07],1,1
112,WP_039855958.1 alpha-amylase family protein [Neisseria mucosa],1,1
113,OFM98359.1 amylosucrase [Neisseria sp. HMSC055F11],1,1
114,WP_107977004.1 amylosucrase [Neisseria mucosa],1,1
115,WP_123805896.1 alpha-amylase family protein [Neisseria chenwenguii],1,1
116,WP_019270138.1 alpha-amylase family protein [Neisseria sicca],1,1
117,WP_070514980.1 amylosucrase [Neisseria sp. HMSC077D05],1,1
118,WP_016688094.1 alpha-amylase family protein [Neisseria sicca],1,1
119,WP_107812955.1 alpha-amylase family protein [Neisseria sicca],1,1
120,WP_089035080.1 alpha-amylase family protein [Neisseria chenwenguii],1,1
121,MBF1286552.1 amylosucrase [Neisseria sp.],1,1
122,MBF1265402.1 amylosucrase [Neisseria sicca],1,1
123,WP_009173319.1 amylosucrase [Neisseria sp. oral taxon 014],1,1
124,KJJ14438.1 amylosucrase [Neisseria sp. HMSC06F02],1,1
125,WP_020395193.1 DUF3459 domain-containing protein [Thiolinea disciformis],1,1
126,TXH69610.1 amylosucrase [Thiothrix sp.],1,1
127,WP_078921153.1 DUF3459 domain-containing protein [Thiothrix eikelboomii],1,1
128,WP_189490323.1 amylosucrase [Formosimonas limnophila],1,1
129,WP_116607541.1 alpha-glucosidase C-terminal domain-containing protein [Rhodoferax sp. YR267],1,1
130,WP_201492321.1 amylosucrase [Rubrivivax sp. A210],1,1
131,ACB35580.1 alpha amylase catalytic region [Leptothrix cholodnii SP-6],1,1
132,WP_127996339.1 amylosucrase [Piscinibacter defluvii],1,1
133,WP_043704407.1 alpha-glucosidase C-terminal domain-containing protein [Leptothrix cholodnii],1,1
134,WP_137894689.1 alpha-amylase family protein [Ramlibacter sp. 2FC],1,1
135,NYG33689.1 amylosucrase [Sphaerotilus montanus],1,1
136,WP_046114521.1 amylosucrase [Aquincola tertiaricarbonis],1,1
137,WP_179636149.1 alpha-glucosidase C-terminal domain-containing protein [Sphaerotilus montanus],1,1
138,WP_092762119.1 alpha-glucosidase C-terminal domain-containing protein [Albidiferax sp. OV413],1,1
139,NOT99509.1 amylosucrase [Sideroxydans sp.],1,1
140,MBF1247195.1 alpha-glucosidase C-terminal domain-containing protein [Lautropia mirabilis],1,1
141,MBF1257432.1 alpha-glucosidase C-terminal domain-containing protein [Lautropia mirabilis],1,1
142,WP_198812679.1 alpha-amylase family protein [Arthrobacter sp. MSA 4-2],1,1
143,WP_136610519.1 amylosucrase [Sinomonas albida],1,1
144,EFV94469.1 amylosucrase [Lautropia mirabilis ATCC 51599],1,1
145,WP_197721601.1 alpha-glucosidase C-terminal domain-containing protein [Lautropia mirabilis],1,1
146,WP_083799634.1 alpha-glucosidase C-terminal domain-containing protein [Lautropia mirabilis],1,1
147,WP_194637578.1 amylosucrase [Agreia pratensis],1,1
148,RKW47554.1 amylosucrase [Lautropia sp.],1,1
149,WP_137367841.1 amylosucrase [Arthrobacter sp. NamB2],1,1
150,WP_104117213.1 amylosucrase [Arthrobacter sp. B1805],1,1
151,MBF1237676.1 alpha-glucosidase C-terminal domain-containing protein [Lautropia mirabilis],1,1
152,WP_086461042.1 alpha-amylase family protein [Agreia sp. VKM Ac-1783],1,1
153,WP_159801241.1 amylosucrase [Arthrobacter sp. J391],1,1
154,WP_085486657.1 alpha-amylase family protein [Agreia pratensis],1,1
155,WP_199276486.1 alpha-amylase family protein [Arthrobacter sp. CAN_A2],1,1
156,WP_130483368.1 amylosucrase [Leptothrix mobilis],1,1
157,WP_051631524.1 amylosucrase [Sphaerotilus natans],1,1
158,WP_133402516.1 alpha-amylase family protein [Arthrobacter crusticola],1,1
159,RJU00205.1 amylosucrase [Arthrobacter sp. MDT2-14],1,1
160,RZS51951.1 amylosucrase [Leptothrix mobilis],1,1
161,WP_149504224.1 amylosucrase [Sphaerotilus natans],1,1
162,WP_104139101.1 amylosucrase [Arthrobacter sp. ZGTC131],1,1
163,WP_152812209.1 amylosucrase [Arthrobacter bussei],1,1
164,WP_084605872.1 amylosucrase [Agreia bicolorata],1,1
165,WP_173804339.1 amylosucrase [Leptothrix sp. C29],1,1
166,WP_078715498.1 amylosucrase [Agreia bicolorata],1,1
167,WP_104278026.1 alpha-amylase family protein [Clavibacter michiganensis],1,1
168,KQR22484.1 amylosucrase [Agreia sp. Leaf335],1,1
169,WP_055768356.1 amylosucrase [Arthrobacter sp. Leaf234],1,1
170,WP_082495794.1 alpha-amylase family protein [Agreia sp. Leaf335],1,1
171,WP_147782907.1 amylosucrase [Lacisediminihabitans profunda],1,1
172,WP_138415476.1 DUF3459 domain-containing protein [Sinomonas sp. NEAU-HV1],1,1
173,WP_132542727.1 DUF3459 domain-containing protein [Plasticicumulans lactativorans],1,1
174,WP_026549211.1 alpha-amylase family protein [Arthrobacter sp. Br18],1,1
175,WP_055898544.1 alpha-amylase family protein [Yonghaparkia sp. Root332],1,1
176,AMM31830.1 amylosucrase [Sinomonas atrocyanea],1,1
177,GAP37951.1 sucrose phosphorylase [Ideonella sakaiensis],1,1
178,WP_197284739.1 alpha-amylase family protein [Ideonella sakaiensis],1,1
179,WP_125095767.1 alpha-glucosidase C-terminal domain-containing protein [Lautropia dentalis],1,1
180,WP_104179230.1 amylosucrase [Arthrobacter sp. B0490],1,1
181,"RKV79052.1 amylosucrase, partial [Neisseria sp.]",1,1
182,MUK01693.1 DUF3459 domain-containing protein [Vibrio cholerae],1,1
183,WP_159616343.1 amylosucrase [Arthrobacter sp. J915],1,1
184,WP_055947539.1 amylosucrase [Agreia sp. Leaf244],1,1
185,WP_066502056.1 amylosucrase [Sinomonas atrocyanea],1,1
186,WP_043440818.1 amylosucrase [Arthrobacter sp. L77],1,1
187,WP_028269345.1 alpha-glucosidase C-terminal domain-containing protein [Arthrobacter sp. UNC362MFTsu5.1],1,1
188,NQX12848.1 amylosucrase [Microbacteriaceae bacterium VKM Ac-2855],1,1
189,WP_078029327.1 amylosucrase [Arthrobacter sp. KBS0703],1,1
190,WP_130284277.1 amylosucrase [Microcella alkaliphila],1,1
191,WP_182489477.1 alpha-amylase family protein [Yonghaparkia alkaliphila],1,1
192,KQM58009.1 amylosucrase [Agreia sp. Leaf210],1,1
193,RZT58206.1 amylosucrase [Microcella alkaliphila],1,1
194,WP_156144148.1 DUF3459 domain-containing protein [Sinomonas humi],1,1
195,WP_082466162.1 alpha-amylase family protein [Agreia sp. Leaf210],1,1
196,WP_196880940.1 amylosucrase [Arthrobacter sp. CAN_A214],1,1
197,KHL02569.1 amylosucrase [Sinomonas humi],1,1
198,WP_055930247.1 amylosucrase [Agreia sp. Leaf283],1,1
199,WP_104120225.1 amylosucrase [Arthrobacter pityocampae],1,1
200,WP_202563538.1 amylosucrase [Agreia sp. COWG],1,1
201,WP_125133278.1 amylosucrase [Microbacterium sp. 10M-3C3],1,1
202,NQX26899.1 amylosucrase [Microbacteriaceae bacterium VKM Ac-2854],1,1
203,WP_104166212.1 amylosucrase [Arthrobacter sp. SX1312],1,1
204,QHO69714.1 amylosucrase [Marisediminicola antarctica],1,1
205,WP_108252850.1 amylosucrase [Planctomonas deserti],1,1
206,WP_128226989.1 amylosucrase [Ideonella sp. KYPY4],1,1
207,WP_066261876.1 DUF3459 domain-containing protein [Hydrogenophaga flava],1,1
208,WP_056426950.1 DUF3459 domain-containing protein [Arthrobacter sp. Leaf69],1,1
209,WP_018770020.1 amylosucrase [Arthrobacter sp. 162MFSha1.1],1,1
210,WP_087029836.1 alpha-amylase family protein [Arthrobacter agilis],1,1
211,WP_115788660.1 amylosucrase [Arthrobacter silvisoli],1,1
212,WP_130484464.1 amylosucrase [Microcella putealis],1,1
213,WP_161887446.1 amylosucrase [Marisediminicola antarctica],1,1
214,WP_185203996.1 amylosucrase [Glaciihabitans sp. INWT7],1,1
215,MBC7592159.1 amylosucrase [Salinibacterium sp.],1,1
216,WP_056391894.1 amylosucrase [Arthrobacter sp. Soil761],1,1
217,WP_144600123.1 amylosucrase [Arthrobacter sp. AG367],1,1
218,WP_141159107.1 amylosucrase [Pseudarthrobacter sp. NIBRBAC000502771],1,1
219,WP_169077854.1 MULTISPECIES: amylosucrase [Yonghaparkia],1,1
220,BAU32945.1 glycosidase [Microcella alkaliphila],1,1
221,WP_134165032.1 amylosucrase [Arthrobacter sp. 1704],1,1
222,WP_096422458.1 amylosucrase [Microcella alkaliphila],1,1
223,WP_152605610.1 amylosucrase [Cellulomonas carbonis],1,1
224,WP_056626993.1 amylosucrase [Arthrobacter sp. Soil736],1,1
225,KGM11272.1 amylosucrase [Cellulomonas carbonis T26],1,1
226,WP_163474384.1 amylosucrase [Galbitalea soli],1,1
227,WP_043481337.1 alpha-glucosidase C-terminal domain-containing protein [Arthrobacter sp. SPG23],1,1
228,PYG75794.1 amylosucrase [Arthrobacter sp. RC1.1 241],1,1
229,WP_142070535.1 amylosucrase [Arthrobacter sp. SLBN-179],1,1
230,WP_109045528.1 amylosucrase [Pseudarthrobacter sp. AG30],1,1
231,WP_175316834.1 amylosucrase [Pseudarthrobacter sp. C4D7],1,1
232,WP_110542160.1 amylosucrase [Arthrobacter sp. RC1.1 241],1,1
233,WP_056546814.1 amylosucrase [Arthrobacter sp. Soil782],1,1
234,WP_157365241.1 amylosucrase [Arthrobacter sp. QXT-31],1,1
235,WP_079549517.1 amylosucrase [Arthrobacter sp. 49Tsu3.1M3],1,1
236,WP_024477196.1 amylosucrase [Arthrobacter sp. CAL618],1,1
237,WP_087076718.1 MULTISPECIES: DUF3459 domain-containing protein [Arthrobacter],1,1
238,WP_026264356.1 amylosucrase [Arthrobacter sp. 135MFCol5.1],1,1
239,APX04080.1 amylosucrase [Arthrobacter sp. QXT-31],1,1
240,WP_137322657.1 alpha-glucosidase C-terminal domain-containing protein [Arthrobacter sp. 24S4-2],1,1
241,WP_116778474.1 amylosucrase [Arthrobacter sp. Bz4],1,1
242,NBO77056.1 amylosucrase [Betaproteobacteria bacterium],1,1
243,WP_104999882.1 amylosucrase [Arthrobacter sp. PGP41],1,1
244,WP_141182638.1 amylosucrase [Pseudarthrobacter sp. NIBRBAC000502770],1,1
245,WP_144670094.1 DUF3459 domain-containing protein [Arthrobacter sp. U41],1,1
246,NUP59435.1 amylosucrase [Pseudarthrobacter sp.],1,1
247,WP_066289268.1 DUF3459 domain-containing protein [Arthrobacter sp. B6],1,1
248,WP_138444098.1 amylosucrase [Sinomonas susongensis],1,1
249,WP_074586068.1 alpha-glucosidase C-terminal domain-containing protein [Arthrobacter cupressi],1,1
250,WP_120522317.1 amylosucrase [Arthrobacter sp. NEAU-SA2],1,1
251,WP_104172882.1 alpha-amylase family protein [Arthrobacter sp. Y81],1,1
252,WP_157240566.1 amylosucrase [Pseudarthrobacter sp. GA104],1,1
253,AUZ87673.1 amylosucrase [Arthrobacter agilis],1,1
254,TQJ59358.1 amylosucrase [Arthrobacter sp. SLBN-83],1,1
255,WP_142132379.1 amylosucrase [Arthrobacter sp. SLBN-83],1,1
256,WP_133831904.1 amylosucrase [Arthrobacter sp. AG258],1,1
257,WP_159630234.1 amylosucrase [Arthrobacter sp. 8AJ],1,1
258,WP_141945413.1 amylosucrase [Arthrobacter sp. SLBN-53],1,1
259,WP_055806052.1 amylosucrase [Arthrobacter sp. Leaf337],1,1
260,WP_138610458.1 amylosucrase [Pseudarthrobacter sp. NamE5],1,1
261,GHG53926.1 amylosucrase [Sinomonas sp. KCTC 49339],1,1
262,WP_011691876.1 alpha-glucosidase C-terminal domain-containing protein [Arthrobacter sp. FB24],1,1
263,VXC39414.1 Amylosucrase [Arthrobacter sp. 8AJ],1,1
264,WP_049822890.1 alpha-amylase family protein [Arthrobacter sp. H41],1,1
265,WP_003805464.1 amylosucrase [Arthrobacter globiformis],1,1
266,WP_189694333.1 MULTISPECIES: DUF3459 domain-containing protein [unclassified Sinomonas],1,1
267,WP_163167649.1 amylosucrase [Arthrobacter sp. Alg241-R88],1,1
268,MBG6191774.1 amylosucrase [Arthrobacter sp. CAN_A212],1,1
269,MBA4247086.1 amylosucrase [Microbacterium sp.],1,1
270,WP_142041011.1 amylosucrase [Arthrobacter sp. SLBN-100],1,1
271,WP_028276797.1 amylosucrase [Arthrobacter sp. I3],1,1
272,WP_202802710.1 amylosucrase [Arthrobacter sp. TB 23],1,1
273,WP_079595327.1 MULTISPECIES: amylosucrase [unclassified Arthrobacter],1,1
274,WP_196867680.1 amylosucrase [Arthrobacter sp. CAN_A212],1,1
275,WP_148599268.1 amylosucrase [Arthrobacter echini],1,1
276,WP_111902571.1 amylosucrase [Arthrobacter globiformis],1,1
277,WP_142029300.1 amylosucrase [Arthrobacter sp. SLBN-112],1,1
278,WP_091248009.1 amylosucrase [Arthrobacter sp. ok909],1,1
279,ASN53838.1 amylosucrase [Sinomonas sp. R1AF57],1,1
280,WP_043453623.1 amylosucrase [Pseudarthrobacter phenanthrenivorans],1,1
281,WP_087873388.1 amylosucrase [Arthrobacter globiformis],1,1
282,WP_102974302.1 amylosucrase [Arthrobacter sp. AFG20],1,1
283,WP_156929974.1 DUF3459 domain-containing protein [Arthrobacter sp. 35/47],1,1
284,WP_091423916.1 amylosucrase [Arthrobacter sp. OV608],1,1
285,WP_090577570.1 amylosucrase [Arthrobacter sp. ov407],1,1
286,WP_120149474.1 amylosucrase [Arthrobacter sp. Hz2],1,1
287,WP_115523592.1 amylosucrase [Arthrobacter sp. RT-1],1,1
288,WP_138135316.1 amylosucrase [Pseudarthrobacter sp. NamB4],1,1
289,SCC04436.1 amylosucrase [Pseudarthrobacter enclensis],1,1
290,WP_197075039.1 amylosucrase [Mesorhizobium sp. F7],1,1
291,WP_090587048.1 DUF3459 domain-containing protein [Arthrobacter subterraneus],1,1
292,WP_058267957.1 amylosucrase [Pseudarthrobacter enclensis],1,1
293,SDI42482.1 amylosucrase [Arthrobacter subterraneus],1,1
294,WP_120692993.1 amylosucrase [Pseudarthrobacter phenanthrenivorans],1,1
295,WP_142063442.1 amylosucrase [Pseudarthrobacter sp. B4EP4b],1,1
296,WP_179873942.1 amylosucrase [Chryseoglobus indicus],1,1
297,WP_050053297.1 amylosucrase [Pseudarthrobacter siccitolerans],1,1
298,WP_190609175.1 amylosucrase [Arthrobacter sp. IA7],1,1
299,WP_018772802.1 amylosucrase [Arthrobacter sp. 131MFCol6.1],1,1
300,WP_056331038.1 amylosucrase [Arthrobacter sp. Soil764],1,1
301,MBK5265900.1 DUF3459 domain-containing protein [Acidimicrobiia bacterium],1,1
302,WP_013602643.1 amylosucrase [Pseudarthrobacter phenanthrenivorans],1,1
303,WP_142118117.1 amylosucrase [Arthrobacter sp. SLBN-122],1,1
304,WP_139030730.1 MULTISPECIES: amylosucrase [unclassified Arthrobacter],1,1
305,AXJ11004.1 amylosucrase [Arthrobacter sp. PM3],1,1
306,WP_067948247.1 alpha-amylase family protein [Agromyces sp. NDB4Y10],1,1
307,WP_104043589.1 amylosucrase [Arthrobacter sp. ZGTC412],1,1
308,WP_122936046.1 alpha-amylase family protein [Agromyces sp. SJ-23],1,1
309,WP_188572054.1 alpha-amylase family protein [Arthrobacter liuii],1,1
310,WP_116765790.1 amylosucrase [Arthrobacter sp. H-02-3],1,1
311,WP_196842196.1 DUF3459 domain-containing protein [Arthrobacter sp. CAN_A1],1,1
312,WP_191152018.1 alpha-amylase family protein [Chryseoglobus sp. 28M-23],1,1
313,WP_077489299.1 amylosucrase [Sinomonas mesophila],1,1
314,WP_131134550.1 DUF3459 domain-containing protein [Arthrobacter sp. S39],1,1
315,WP_104186607.1 amylosucrase [Arthrobacter sp. 9E14],1,1
316,MBR21769.1 amylosucrase [Leifsonia sp.],1,1
317,WP_152583791.1 amylosucrase [Chryseoglobus sp. KN1116],1,1
318,WP_015938755.1 amylosucrase [Pseudarthrobacter chlorophenolicus],1,1
319,WP_133767173.1 alpha-amylase family protein [Amnibacterium kyonggiense],1,1
320,WP_183321860.1 amylosucrase [Chryseoglobus frigidaquae],1,1
321,WP_026552373.1 DUF3459 domain-containing protein [Arthrobacter sp. H20],1,1
322,WP_108597576.1 amylosucrase [Arthrobacter sp. HMWF013],1,1
323,MBB5617143.1 amylosucrase [Chryseoglobus frigidaquae],1,1
324,WP_174176271.1 amylosucrase [Pseudarthrobacter oxydans],1,1
325,WP_066281189.1 amylosucrase [Arthrobacter sp. OY3WO11],1,1
326,WP_191035467.1 amylosucrase [Arthrobacter sp. S13_S34],1,1
327,WP_138137958.1 amylosucrase [Pseudarthrobacter sp. NamE2],1,1
328,GGH96979.1 amylosucrase [Arthrobacter liuii],1,1
329,WP_106562579.1 amylosucrase [Labedella gwakjiensis],1,1
330,WP_188812114.1 amylosucrase [Pseudarthrobacter polychromogenes],1,1
331,WP_171619494.1 MULTISPECIES: alpha-glucosidase C-terminal domain-containing protein [unclassified Arthrobacter],1,1
332,WP_190612647.1 amylosucrase [Arthrobacter sp. S1_S22],1,1
333,WP_045730706.1 amylosucrase [Pseudarthrobacter chlorophenolicus],1,1
334,WP_026536679.1 amylosucrase [Arthrobacter sp. 9MFCol3.1],1,1
335,WP_019998128.1 hypothetical protein [Aureimonas ureilytica],1,1
336,WP_100824127.1 alpha-amylase family protein [Microcella sp. HL-107],1,1
337,WP_105032843.1 amylosucrase [Arthrobacter ruber],1,1
338,WP_104049440.1 amylosucrase [Arthrobacter sp. DWC3],1,1
339,WP_076658274.1 amylosucrase [Yoonia rosea],1,1
340,WP_172989004.1 amylosucrase [Microbacterium hominis],1,1
341,GGI89089.1 amylosucrase [Pseudarthrobacter scleromae],1,1
342,WP_116416127.1 DUF3459 domain-containing protein [Subtercola boreus],1,1
343,WP_188731118.1 amylosucrase [Pseudarthrobacter scleromae],1,1
344,"WP_133205564.1 amylosucrase, partial [Arthrobacter terricola]",1,1
345,WP_153983097.1 amylosucrase [Chryseoglobus frigidaquae],1,1
346,EFC88315.1 putative amylosucrase [Neisseria mucosa ATCC 25996],1,1
347,WP_091723601.1 amylosucrase [Pseudarthrobacter equi],1,1
348,WP_052022747.1 amylosucrase [Actinotalea ferrariae],1,1
349,VXC27945.1 Amylosucrase [Arthrobacter sp. 9AX],1,1
350,WP_171584446.1 alpha-glucosidase C-terminal domain-containing protein [Arthrobacter sp. 260],1,1
351,WP_155050468.1 amylosucrase [Agromyces bracchium],1,1
352,WP_159829483.1 amylosucrase [Arthrobacter sp. 9AX],1,1
353,WP_110278983.1 alpha-glucosidase C-terminal domain-containing protein [Loktanella sp. PT4BL],1,1
354,WP_129234096.1 alpha-amylase family protein [Agromyces binzhouensis],1,1
355,WP_146898862.1 DUF3459 domain-containing protein [Cellulomonas aerilata],1,1
356,WP_102977725.1 amylosucrase [Arthrobacter sp. AFG7.2],1,1
357,WP_104339659.1 amylosucrase [Rathayibacter sp. AY1C4],1,1
358,WP_154345469.1 amylosucrase [Agromyces sp. Q22],1,1
359,WP_104327462.1 amylosucrase [Rathayibacter sp. AY1A5],1,1
360,WP_104250198.1 amylosucrase [Rathayibacter sp. AY2B9],1,1
361,NRD08449.1 amylosucrase [Rathayibacter agropyri],1,1
362,WP_104257288.1 MULTISPECIES: amylosucrase [unclassified Rathayibacter],1,1
363,WP_104317475.1 amylosucrase [Rathayibacter sp. AY1E1],1,1
364,WP_159913410.1 amylosucrase [Rathayibacter sp. VKM Ac-2801],1,1
365,HAP91375.1 TPA: amylosucrase [Arthrobacter bacterium],1,1
366,BBE23535.1 amylosucrase [Arthrobacter sp. MN05-02],1,1
367,HDV38450.1 TPA: amylosucrase [Chloroflexi bacterium],1,1
368,WP_104262675.1 MULTISPECIES: amylosucrase [unclassified Rathayibacter],1,1
369,WP_104267042.1 amylosucrase [Rathayibacter sp. AY1E3],1,1
370,WP_104313671.1 amylosucrase [Rathayibacter sp. AY2B7],1,1
371,WP_155840232.1 amylosucrase [Agromyces luteolus],1,1
372,KQB97880.1 amylosucrase [Loktanella sp. 1ANDIMAR09],1,1
373,WP_104337376.1 amylosucrase [Rathayibacter sp. AY1C1],1,1
374,WP_104233293.1 amylosucrase [Rathayibacter sp. AY1C2],1,1
